Zeit [s],Ankerstrom [A],Drehzahl [1/min]
2.495,0.681526040269237,1999.99999999898
2.5,0.681526040671941,1999.99999999301
2.505,0.681526041246016,1999.99999999041
2.51,0.681526041764893,1999.99999999156
2.515,0.681526042056873,1999.99999999546
2.52,0.681526042056248,2000.00000000032
2.525,0.681526041809206,2000.00000000431
2.53,0.681526041440424,2000.00000000617
2.535,0.681526041097278,2000.00000000559
2.54,0.681526040895071,2000.00000000316
2.545,0.681526040881892,2000.00000000002
2.55,0.681526041032585,1999.99999999736
2.555,0.681526041268907,1999.99999999604
2.56,0.681526041495245,1999.9999999963
2.565,0.68152604163448,1999.99999999781
2.57,0.681526041651925,1999.99999999984
2.575,0.681526041560664,2000.00000000161
2.58,0.681526041409638,2000.00000000254
2.585,0.681526041260686,2000.00000000244
2.59,0.681526041165278,2000.00000000151
2.595,0.681526041148156,2000.0000000002
2.6,0.681526041202921,1999.99999999903
2.605,0.681526041299264,1999.99999999838
2.61,0.681526041397093,1999.9999999984
2.615,0.681526041462207,1999.99999999897
2.62,0.681526041477099,1999.99999999981
2.625,0.681526041444503,2000.00000000059
2.63,0.68152604138322,2000.00000000104
2.635,0.681526041319062,2000.00000000106
2.64,0.681526041274754,2000.00000000071
2.645,0.681526041262601,2000.00000000016
2.65,0.681526041281763,1999.99999999965
2.655,0.681526041320748,1999.99999999934
2.66,0.681526041362783,1999.99999999931
2.665,0.681526041392774,1999.99999999952
2.67,0.681526041402204,1999.99999999987
2.675,0.681526041391012,2000.00000000021
2.68,0.681526041366283,2000.00000000042
2.685,0.68152604133881,2000.00000000045
2.69,0.681526041318568,2000.00000000032
2.695,0.681526041311504,2000.0000000001
2.7,0.681526041317941,1999.99999999988
2.705,0.681526041333369,1999.99999999974
2.71,0.681526041351167,1999.9999999997
2.715,0.681526041364809,1999.99999999978
2.72,0.681526041370193,1999.99999999992
2.725,0.681526041366692,2000.00000000007
2.73,0.681526041356909,2000.00000000017
2.735,0.681526041345297,2000.00000000019
2.74,0.681526041336163,2000.00000000015
2.745,0.681526041332303,2000.00000000006
2.75,0.681526041334258,1999.99999999996
2.755,0.681526041340485,1999.99999999989
2.76,0.681526041348073,1999.99999999987
2.765,0.681526041354177,1999.9999999999
2.77,0.681526041356905,1999.99999999996
2.775,0.681526041355816,2000.00000000002
2.78,0.681526041351818,2000.00000000007
2.785,0.681526041346766,2000.00000000008
2.79,0.681526041342683,2000.00000000007
2.795,0.68152604134082,2000.00000000003
2.8,0.681526041341468,1999.99999999999
2.805,0.681526041343724,1999.99999999996
2.81,0.681526041346572,1999.99999999995
2.815,0.681526041349273,1999.99999999996
2.82,0.681526041350834,1999.99999999997
2.825,0.681526041350877,1999.99999999999
2.83,0.681526041349921,2000.00000000001
2.835,0.681526041348611,2000.00000000003
2.84,0.681526041347123,2000.00000000003
2.845,0.681526041345716,2000.00000000002
2.85,0.6815260413452,2000.00000000001
2.855,0.681526041345415,1999.99999999999
2.86,0.681526041346577,1999.99999999998
2.865,0.681526041348053,1999.99999999998
2.87,0.6815260413488,1999.99999999999
2.875,0.68152604134905,2000.00000000001
2.88,0.681526041348317,2000.00000000002
2.885,0.681526041346961,2000.00000000002
2.89,0.68152604134584,2000.00000000002
2.895,0.681526041345486,2000
2.9,0.681526041345659,1999.99999999998
2.905,0.681526041346804,1999.99999999998
2.91,0.681526041348217,1999.99999999998
2.915,0.681526041348802,1999.99999999999
2.92,0.681526041348986,2000.00000000001
2.925,0.681526041348154,2000.00000000002
2.93,0.681526041346761,2000.00000000002
2.935,0.681526041345823,2000.00000000002
2.94,0.681526041345527,2000
2.945,0.681526041345779,1999.99999999998
2.95,0.681526041346961,1999.99999999998
2.955,0.681526041348295,1999.99999999998
2.96,0.68152604134879,1999.99999999999
2.965,0.681526041348942,2000.00000000001
2.97,0.681526041348072,2000.00000000002
2.975,0.681526041346657,2000.00000000002
2.98,0.681526041345786,2000.00000000002
2.985,0.681526041345507,2000
2.99,0.681526041345849,1999.99999999998
2.995,0.681526041347072,1999.99999999998
3,0.681526041348356,1999.99999999998
3.005,0.681526041348807,1999.99999999999
3.01,0.681526041348908,2000.00000000001
3.015,0.681526041347971,2000.00000000002
3.02,0.681526041346543,2000.00000000002
3.025,0.681526041345783,2000.00000000002
3.03,0.681526041345528,2000
3.035,0.681526041345893,1999.99999999998
3.04,0.681526041347128,1999.99999999998
3.045,0.681526041348384,1999.99999999998
3.05,0.681526041348812,1999.99999999999
3.055,0.681526041348884,2000.00000000001
3.06,0.681526041347917,2000.00000000002
3.065,0.681526041346487,2000.00000000002
3.07,0.681526041345764,2000.00000000002
3.075,0.681526041345516,2000
3.08,0.681526041345929,1999.99999999998
3.085,0.681526041347183,1999.99999999998
3.09,0.681526041348409,1999.99999999998
3.095,0.68152604134882,1999.99999999999
3.1,0.681526041348877,2000.00000000001
3.105,0.681526041347892,2000.00000000002
3.11,0.681526041346464,2000.00000000002
3.115,0.681526041345759,2000.00000000001
3.12,0.681526041345515,2000
3.125,0.681526041345951,1999.99999999998
3.13,0.681526041347213,1999.99999999998
3.135,0.681526041348423,1999.99999999998
3.14,0.681526041348825,1999.99999999999
3.145,0.681526041348867,2000.00000000001
3.15,0.681526041347869,2000.00000000002
3.155,0.681526041346441,2000.00000000002
3.16,0.681526041345752,2000.00000000001
3.165,0.681526041345511,2000
3.17,0.681526041345972,1999.99999999998
3.175,0.681526041347242,1999.99999999998
3.18,0.681526041348438,1999.99999999998
3.185,0.68152604134883,2000
3.19,0.681526041348839,2000.00000000001
3.195,0.681526041347814,2000.00000000002
3.2,0.681526041346391,2000.00000000002
3.205,0.681526041345735,2000.00000000001
3.21,0.6815260413455,2000
3.215,0.681526041346012,1999.99999999998
3.22,0.681526041347299,1999.99999999998
3.225,0.681526041348461,1999.99999999998
3.23,0.681526041348837,2000
3.235,0.68152604134883,2000.00000000001
3.24,0.681526041347788,2000.00000000002
3.245,0.681526041346369,2000.00000000002
3.25,0.681526041345729,2000.00000000001
3.255,0.681526041345496,2000
3.26,0.681526041346034,1999.99999999998
3.265,0.681526041347329,1999.99999999998
3.27,0.681526041348474,1999.99999999998
3.275,0.681526041348843,2000
3.28,0.681526041348818,2000.00000000001
3.285,0.681526041347762,2000.00000000002
3.29,0.681526041346348,2000.00000000002
3.295,0.681526041345723,2000.00000000001
3.3,0.681526041345493,1999.99999999999
3.305,0.681526041346055,1999.99999999998
3.31,0.68152604134736,1999.99999999998
3.315,0.681526041348487,1999.99999999998
3.32,0.681526041348848,2000
3.325,0.681526041348805,2000.00000000001
3.33,0.681526041347737,2000.00000000002
3.335,0.681526041346329,2000.00000000002
3.34,0.681526041345719,2000.00000000001
3.345,0.681526041345491,1999.99999999999
3.35,0.681526041346078,1999.99999999998
3.355,0.681526041347391,1999.99999999998
3.36,0.6815260413485,1999.99999999998
3.365,0.681526041348852,2000
3.37,0.681526041348792,2000.00000000001
3.375,0.681526041347711,2000.00000000002
3.38,0.681526041346309,2000.00000000002
3.385,0.681526041345713,2000.00000000001
3.39,0.681526041345488,1999.99999999999
3.395,0.681526041346101,1999.99999999998
